Depth (M),Temp (deg C),Salinity (PSU),Density (kg/m^3),PAR/Irradiance,Fluorescence (mg/m^3),Turbidity (NTU),Beam Attenuation,Oxygen (umol/kg),Oxygen (% sat)
42.357,11.1245,33.2224,25.3702,3.35E-01,0.4005,0.3319,0.7408,190.31,70.088
42.316,11.1245,33.2189,25.3675,3.36E-01,0.4127,0.3548,0.7424,191.194,70.412
42.217,11.1199,33.2198,25.369,3.49E-01,0.4257,0.3804,0.7498,192.308,70.815
42.104,11.1152,33.2135,25.3649,3.52E-01,0.4295,0.3632,0.7514,193.423,71.216
42.008,11.115,33.2149,25.366,3.63E-01,0.4372,0.3315,0.7508,194.06,71.451
41.915,11.1137,33.2143,25.3658,3.75E-01,0.4097,0.3357,0.7511,194.68,71.677
41.852,11.1132,33.2141,25.3657,3.77E-01,0.3151,0.3495,0.7492,195.112,71.835
41.766,11.1091,33.2133,25.3659,3.80E-01,0.3212,0.3483,0.7523,195.556,71.992
41.563,11.1059,33.2118,25.3653,3.89E-01,0.3761,0.3376,0.7539,196.154,72.206
41.234,11.1046,33.2075,25.3621,4.09E-01,0.3754,0.3376,0.7605,196.67,72.392
40.948,11.1091,33.2005,25.3559,4.27E-01,0.3639,0.367,0.7653,197.105,72.555
40.915,11.1105,33.2005,25.3556,4.34E-01,0.3639,0.3678,0.7734,197.436,72.679
41.016,11.1076,33.2047,25.3594,4.28E-01,0.3319,0.3888,0.7747,197.648,72.755
40.981,11.108,33.2086,25.3624,4.28E-01,0.3265,0.3922,0.775,197.942,72.866
40.758,11.1095,33.2026,25.3574,4.38E-01,0.399,0.3968,0.7747,198.071,72.913
40.549,11.1149,33.1965,25.3517,4.54E-01,0.4257,0.3987,0.7751,198,72.892
40.52,11.1184,33.1934,25.3487,4.64E-01,0.4173,0.3987,0.7763,197.386,72.67
40.617,11.1172,33.1967,25.3514,4.58E-01,0.4127,0.3987,0.78,196.323,72.278
40.644,11.1213,33.1932,25.348,4.53E-01,0.4066,0.4044,0.7829,195.086,71.827
40.517,11.1192,33.1938,25.3488,4.67E-01,0.4005,0.4105,0.7802,194.235,71.511
40.294,11.1199,33.1916,25.347,4.84E-01,0.3784,0.4021,0.7786,194.274,71.525
40.08,11.1203,33.1909,25.3463,5.03E-01,0.3387,0.3861,0.7748,195.018,71.799
39.93,11.118,33.1935,25.3488,5.21E-01,0.3502,0.3834,0.783,195.753,72.068
39.979,11.1179,33.1946,25.3496,5.26E-01,0.3883,0.3743,0.7889,195.759,72.071
40.117,11.119,33.1931,25.3483,5.07E-01,0.3883,0.3777,0.7803,195.143,71.845
40.062,11.1187,33.1929,25.3482,5.11E-01,0.3883,0.4109,0.7788,194.371,71.56
39.769,11.1213,33.1895,25.3451,5.32E-01,0.3883,0.4105,0.7766,193.462,71.227
39.493,11.1308,33.1843,25.3393,5.57E-01,0.3639,0.3926,0.7804,192.865,71.019
39.317,11.1354,33.1825,25.3371,5.79E-01,0.3639,0.3926,0.7841,192.536,70.904
39.121,11.14,33.1745,25.3301,5.98E-01,0.3639,0.4029,0.7891,192.73,70.978
38.818,11.1386,33.1665,25.324,6.25E-01,0.3639,0.4048,0.7912,193.004,71.073
38.51,11.1419,33.159,25.3176,6.64E-01,0.3548,0.3777,0.7978,193.015,71.078
38.296,11.1496,33.1511,25.3101,6.90E-01,0.3517,0.3678,0.8015,193.314,71.196
38.109,11.1705,33.1362,25.2948,7.13E-01,0.3891,0.3903,0.8053,193.78,71.392
37.913,11.181,33.1288,25.2872,7.47E-01,0.4127,0.4048,0.8114,194.204,71.56
37.714,11.1829,33.123,25.2823,7.76E-01,0.46,0.4078,0.8128,194.663,71.729
37.487,11.184,33.1167,25.2772,8.12E-01,0.5119,0.4109,0.8107,194.901,71.815
37.245,11.1817,33.1188,25.2792,8.54E-01,0.5028,0.4067,0.8144,195.213,71.928
37.093,11.1883,33.1094,25.2707,8.78E-01,0.4867,0.3987,0.8188,195.483,72.032
37.021,11.1918,33.0998,25.2626,8.87E-01,0.5241,0.4002,0.8199,195.258,71.95
36.839,11.1934,33.0981,25.261,9.08E-01,0.6462,0.4048,0.82,194.269,71.587
36.475,11.1959,33.0941,25.2574,9.52E-01,0.6325,0.4071,0.8217,192.781,71.041
36.101,11.2099,33.0834,25.2466,1.02E+00,0.5112,0.4292,0.8229,192.002,70.769
35.865,11.2248,33.0737,25.2364,1.06E+00,0.5112,0.4292,0.8248,191.95,70.767
35.694,11.2404,33.0627,25.225,1.10E+00,0.6676,0.4353,0.8203,192.584,71.019
35.425,11.2476,33.0589,25.2207,1.14E+00,0.6706,0.4353,0.8178,193.945,71.53
35.073,11.25,33.0569,25.2188,1.20E+00,0.7759,0.3991,0.8213,195.144,71.974
34.754,11.2568,33.0537,25.2151,1.28E+00,0.7942,0.3926,0.8209,195.221,72.012
34.548,11.2617,33.0518,25.2127,1.35E+00,0.74,0.3838,0.8206,194.497,71.751
34.425,11.2715,33.0475,25.2075,1.38E+00,0.7202,0.3804,0.8174,193.802,71.507
34.319,11.2728,33.0488,25.2083,1.41E+00,0.7576,0.4139,0.8155,193.673,71.462
34.137,11.2781,33.046,25.2052,1.46E+00,0.782,0.4353,0.8117,194.297,71.699
33.849,11.2811,33.0447,25.2036,1.53E+00,0.8049,0.4036,0.8117,195.317,72.079
33.578,11.2885,33.0414,25.1998,1.61E+00,0.8308,0.3685,0.81,196.253,72.435
33.421,11.3037,33.0344,25.1916,1.66E+00,0.8003,0.3792,0.8074,196.998,72.729
33.276,11.311,33.0329,25.1891,1.70E+00,0.7446,0.3991,0.8058,197.874,73.063
32.979,11.3138,33.0302,25.1864,1.79E+00,0.7698,0.4017,0.8174,198.381,73.253
32.58,11.3221,33.0235,25.1798,1.91E+00,0.8552,0.4113,0.8151,197.903,73.086
32.296,11.3309,33.0188,25.1745,2.01E+00,0.8491,0.4071,0.8039,197.422,72.919
32.127,11.3341,33.0176,25.1729,2.07E+00,0.7935,0.3682,0.8042,197.573,72.979
31.96,11.3383,33.0139,25.1693,2.11E+00,0.7942,0.3682,0.8043,198.559,73.348
31.719,11.3368,33.0148,25.1703,2.18E+00,0.9331,0.3506,0.8069,200.221,73.96
31.388,11.3361,33.014,25.1698,2.30E+00,0.9369,0.3502,0.8082,201.203,74.321
31.052,11.3373,33.0126,25.1685,2.43E+00,0.8995,0.3552,0.8103,201.058,74.269
30.766,11.3394,33.0107,25.1666,2.56E+00,0.8926,0.3563,0.8114,200.671,74.128
30.494,11.3417,33.0086,25.1645,2.69E+00,0.9193,0.3651,0.8133,200.763,74.165
30.223,11.3459,33.0051,25.1611,2.83E+00,0.9293,0.3685,0.8086,201.448,74.423
29.984,11.349,33.0035,25.1592,2.96E+00,0.956,0.3792,0.8065,202.847,74.943
29.768,11.3536,33,25.1557,3.10E+00,0.9735,0.3865,0.8006,203.918,75.345
29.543,11.3562,32.9975,25.1533,3.23E+00,1.0307,0.367,0.801,204.51,75.566
29.303,11.3574,32.996,25.1519,3.38E+00,1.0948,0.3441,0.801,204.7,75.638
29.046,11.3585,32.9947,25.1507,3.53E+00,1.1154,0.338,0.7998,204.63,75.613
28.786,11.3602,32.9921,25.1484,3.69E+00,1.1559,0.3262,0.7995,204.203,75.456
28.585,11.3612,32.9907,25.1471,3.83E+00,1.1505,0.3258,0.7965,203.994,75.38
28.473,11.3623,32.9892,25.1457,3.92E+00,1.1314,0.3258,0.7974,204.074,75.41
28.269,11.3623,32.9887,25.1453,4.03E+00,1.1269,0.3281,0.7988,204.494,75.565
27.844,11.3615,32.9884,25.1452,4.29E+00,1.0826,0.3502,0.7919,205.084,75.782
27.323,11.3621,32.9878,25.1446,4.67E+00,1.0826,0.3506,0.7888,205.408,75.902
27.026,11.3629,32.9876,25.1443,4.97E+00,1.0239,0.3327,0.8033,206.287,76.228
27.03,11.3631,32.987,25.1438,4.99E+00,1.0223,0.3319,0.8024,207.638,76.728
27.049,11.3627,32.9879,25.1446,4.98E+00,0.9911,0.3422,0.8018,209.432,77.39
26.795,11.362,32.9881,25.1448,5.16E+00,0.9857,0.3445,0.7991,210.568,77.809
26.249,11.3615,32.9871,25.1442,5.63E+00,1.0292,0.3357,0.7975,210.536,77.796
25.765,11.3622,32.9867,25.1438,6.21E+00,1.0467,0.3319,0.8031,210.054,77.619
25.593,11.3626,32.9868,25.1437,6.47E+00,1.0467,0.3392,0.8026,209.362,77.364
25.576,11.3624,32.9869,25.1438,6.49E+00,1.0467,0.3441,0.7996,209.636,77.465
25.423,11.362,32.9871,25.1441,6.66E+00,1.0681,0.3579,0.8008,210.643,77.836
25,11.3615,32.9864,25.1436,7.09E+00,1.0948,0.3743,0.802,211.406,78.117
24.553,11.3618,32.9856,25.1429,7.70E+00,1.0788,0.3624,0.8002,211.751,78.244
24.363,11.3623,32.985,25.1424,8.03E+00,1.046,0.338,0.7998,211.654,78.209
24.354,11.3622,32.9851,25.1424,8.02E+00,1.0506,0.3396,0.7985,211.294,78.076
24.277,11.3621,32.9849,25.1423,8.05E+00,1.0704,0.3441,0.7995,211.383,78.108
23.926,11.3622,32.9847,25.1422,8.41E+00,1.0673,0.3453,0.8006,210.716,77.862
23.426,11.3624,32.9844,25.1418,9.12E+00,1.0338,0.3563,0.7949,209.096,77.264
23.028,11.363,32.9836,25.1411,9.89E+00,1.0338,0.3563,0.7953,207.638,76.725
22.804,11.3633,32.9825,25.1402,1.04E+01,1.0689,0.3853,0.801,207.462,76.66
22.743,11.3639,32.9814,25.1392,1.06E+01,1.0704,0.3869,0.7972,209.199,77.302
22.654,11.3637,32.9814,25.1393,1.07E+01,1.0506,0.3567,0.7938,211.534,78.165
22.382,11.3638,32.9808,25.1387,1.12E+01,1.046,0.3502,0.7938,212.877,78.661
21.982,11.3643,32.9792,25.1374,1.20E+01,1.0635,0.3586,0.7939,212.742,78.611
21.625,11.3651,32.9766,25.1352,1.29E+01,1.0704,0.3624,0.7916,212.08,78.367
21.462,11.3659,32.9743,25.1333,1.33E+01,1.0635,0.3556,0.7927,211.41,78.119
21.421,11.3666,32.972,25.1314,1.32E+01,1.0582,0.3502,0.7941,211.333,78.09
21.281,11.3667,32.9714,25.1309,1.34E+01,1.0529,0.3422,0.7928,211.693,78.223
20.99,11.3664,32.971,25.1307,1.40E+01,1.0467,0.3319,0.7921,211.302,78.078
20.662,11.3664,32.9706,25.1304,1.50E+01,1.0544,0.3243,0.7923,210.606,77.821
20.361,11.3666,32.9703,25.1301,1.58E+01,1.0712,0.3075,0.794,210.473,77.772
20.059,11.3668,32.97,25.1298,1.63E+01,1.0941,0.3075,0.7975,211.047,77.984
19.773,11.3668,32.9691,25.1291,1.70E+01,1.1925,0.3079,0.7915,212.377,78.475
19.566,11.367,32.9684,25.1285,1.80E+01,1.1848,0.3094,0.7893,213.062,78.728
19.397,11.3669,32.9679,25.1281,1.88E+01,1.0704,0.3323,0.7897,212.814,78.636
19.108,11.3662,32.9669,25.1275,1.98E+01,1.0704,0.3323,0.7908,212.304,78.446
18.717,11.3657,32.9655,25.1264,2.10E+01,1.0361,0.3094,0.7932,212.032,78.344
18.42,11.3654,32.9641,25.1254,2.22E+01,1.0345,0.3079,0.7867,212.187,78.399
18.301,11.3649,32.9623,25.1241,2.29E+01,1.0048,0.3178,0.7825,212.148,78.383
18.199,11.3646,32.9617,25.1237,2.36E+01,0.9979,0.3197,0.7814,212.103,78.366
17.973,11.3637,32.9614,25.1236,2.44E+01,0.9888,0.3033,0.7818,212.283,78.431
17.636,11.3637,32.9612,25.1234,2.52E+01,0.985,0.2957,0.7818,212.419,78.481
17.332,11.3631,32.9609,25.1233,2.59E+01,0.9994,0.306,0.7798,212.434,78.485
17.137,11.3629,32.9608,25.1233,2.68E+01,1.0094,0.3136,0.7785,212.391,78.469
16.976,11.3612,32.9608,25.1236,2.82E+01,0.9781,0.3113,0.7771,212.824,78.626
16.706,11.36,32.9591,25.1224,2.96E+01,0.9369,0.3075,0.7757,213.615,78.915
16.334,11.359,32.9595,25.1229,3.05E+01,0.9315,0.3041,0.7715,214.185,79.125
15.968,11.3574,32.9588,25.1227,3.15E+01,0.917,0.2953,0.7726,213.758,78.964
15.674,11.3555,32.9578,25.1223,3.30E+01,0.9193,0.2987,0.7739,212.864,78.63
15.435,11.3549,32.9571,25.1218,3.53E+01,0.9293,0.3136,0.7749,212.362,78.443
15.258,11.3539,32.9569,25.1218,3.76E+01,0.9293,0.314,0.7745,212.132,78.356
15.087,11.3531,32.9564,25.1216,3.76E+01,0.9293,0.3197,0.7712,212.302,78.418
14.807,11.3527,32.9561,25.1214,3.84E+01,0.93,0.3197,0.7705,211.948,78.286
14.472,11.3509,32.9561,25.1217,4.06E+01,0.9064,0.3087,0.7693,211.378,78.072
14.227,11.3488,32.9551,25.1213,4.25E+01,0.9048,0.3079,0.7745,211.134,77.978
14.075,11.3455,32.9539,25.1209,4.35E+01,0.885,0.3174,0.7751,211.222,78.005
13.883,11.3446,32.9523,25.1199,4.49E+01,0.8804,0.3201,0.7734,212.06,78.312
13.565,11.3448,32.9523,25.1198,4.60E+01,0.872,0.3365,0.7759,213.216,78.739
13.205,11.3435,32.9528,25.1204,4.79E+01,0.8675,0.3441,0.7786,213.553,78.861
12.978,11.3398,32.9512,25.1199,5.02E+01,0.8614,0.3376,0.7805,212.785,78.571
12.849,11.3363,32.9492,25.1189,4.95E+01,0.8552,0.3323,0.7814,211.95,78.256
12.656,11.3366,32.9457,25.1162,4.90E+01,0.8713,0.3247,0.786,211.623,78.134
12.315,11.337,32.9452,25.1157,5.23E+01,0.8926,0.314,0.7855,211.943,78.252
11.965,11.3366,32.9441,25.1149,5.55E+01,0.8888,0.3178,0.7846,212.468,78.445
11.752,11.3351,32.9435,25.1147,5.60E+01,0.8804,0.3262,0.7823,212.858,78.586
11.593,11.3276,32.9393,25.1128,5.57E+01,0.8896,0.3281,0.7817,212.958,78.608
11.32,11.3209,32.9284,25.1055,5.76E+01,0.9369,0.3384,0.7782,212.738,78.51
10.937,11.3156,32.9235,25.1027,5.99E+01,0.9407,0.3376,0.7782,212.401,78.374
10.624,11.3103,32.918,25.0994,6.22E+01,1.0345,0.3197,0.7789,212.03,78.225
10.61,11.3014,32.9076,25.0928,6.20E+01,1.0345,0.3201,0.7787,212.372,78.331
10.705,11.3117,32.9106,25.0933,6.21E+01,1.0231,0.309,0.7784,213.604,78.804
10.708,11.3177,32.9198,25.0994,6.26E+01,1.0223,0.3079,0.7789,214.912,79.302
10.634,11.3093,32.9229,25.1033,6.20E+01,0.9842,0.3174,0.7786,215.52,79.514
10.603,11.2938,32.9055,25.0926,6.21E+01,0.9735,0.3201,0.7778,215.008,79.289
10.679,11.2932,32.8976,25.0865,6.30E+01,0.9819,0.3079,0.7806,213.542,78.743
10.766,11.2968,32.8989,25.0869,6.64E+01,0.9857,0.3018,0.782,212.335,78.305
10.788,11.3005,32.9048,25.0908,6.73E+01,1.0117,0.3018,0.7815,211.912,78.158
10.736,11.3007,32.9065,25.0921,6.84E+01,1.0345,0.3018,0.7821,212.397,78.338
10.676,11.2993,32.903,25.0897,6.86E+01,1.0345,0.2968,0.7838,213.19,78.626
10.685,11.2995,32.9048,25.091,7.01E+01,1.0345,0.2896,0.7796,213.739,78.83
10.743,11.2998,32.9034,25.0899,7.00E+01,1.0376,0.2896,0.7762,214.336,79.05
10.755,11.3003,32.9055,25.0914,7.34E+01,1.0467,0.2896,0.7768,215.703,79.556
10.702,11.2981,32.9042,25.0908,7.62E+01,1.0445,0.2896,0.7779,217.548,80.232
10.648,11.2962,32.9019,25.0893,7.48E+01,1.0338,0.2896,0.7816,218.599,80.615
10.657,11.2963,32.9005,25.0882,7.62E+01,1.0345,0.2896,0.7833,218.737,80.665
10.744,11.2981,32.9018,25.089,7.72E+01,1.0467,0.2896,0.7847,218.82,80.7
10.818,11.3011,32.9053,25.0911,7.65E+01,1.0467,0.29,0.7786,219.288,80.88
10.693,11.2976,32.904,25.0908,7.85E+01,1.1009,0.3228,0.7766,220.005,81.138
10.415,11.2957,32.9006,25.0885,8.34E+01,1.107,0.3262,0.7727,220.329,81.252
10.145,11.2957,32.9008,25.0886,8.19E+01,1.0979,0.3026,0.7752,220.113,81.172
9.984,11.2895,32.8978,25.0874,8.06E+01,1.0948,0.2957,0.7778,219.675,80.998
9.843,11.2887,32.8954,25.0856,8.10E+01,1.1261,0.3037,0.7758,219.399,80.894
9.593,11.2817,32.8921,25.0844,8.75E+01,1.1436,0.3079,0.7749,219.327,80.853
9.236,11.2758,32.8859,25.0806,9.05E+01,1.1185,0.2923,0.7756,218.847,80.663
8.939,11.2711,32.8804,25.0771,8.73E+01,1.0948,0.2778,0.7789,218.81,80.638
8.804,11.271,32.8781,25.0754,8.77E+01,1.1093,0.2778,0.7833,220.004,81.076
8.716,11.2681,32.8764,25.0745,8.56E+01,1.1314,0.2778,0.7822,221.635,81.672
8.546,11.267,32.8751,25.0737,8.81E+01,1.1513,0.2823,0.7818,222.985,82.166
8.22,11.2657,32.8741,25.0732,8.87E+01,1.2047,0.2957,0.7843,222.794,82.093
7.854,11.2648,32.8726,25.0722,8.41E+01,1.2085,0.2942,0.7843,221.5,81.614
7.641,11.2637,32.8721,25.072,8.28E+01,1.2291,0.2835,0.7846,220.527,81.253
7.567,11.263,32.8714,25.0716,8.34E+01,1.2291,0.2835,0.7848,220.773,81.342
7.418,11.2619,32.8701,25.0707,8.81E+01,1.2535,0.2656,0.785,222.094,81.826
7.111,11.2621,32.8689,25.0698,9.00E+01,1.2535,0.2656,0.7911,223.274,82.261
6.797,11.2617,32.8688,25.0697,8.72E+01,1.2749,0.2976,0.7881,223.428,82.317
6.612,11.2615,32.8686,25.0696,8.57E+01,1.2779,0.3018,0.7803,222.965,82.146
6.47,11.2614,32.8686,25.0696,8.52E+01,1.2871,0.2789,0.7856,223.221,82.24
6.272,11.2617,32.8686,25.0696,8.57E+01,1.2901,0.2717,0.7885,224.255,82.622
6.039,11.2618,32.8691,25.0699,8.29E+01,1.2276,0.2518,0.7913,225.582,83.111
5.825,11.262,32.8691,25.0699,8.27E+01,1.1932,0.2411,0.7895,226.015,83.271
5.598,11.2623,32.869,25.0698,8.39E+01,1.1612,0.2507,0.7833,225.305,83.01
5.322,11.2634,32.8682,25.0689,8.56E+01,1.1322,0.2591,0.786,224.43,82.689
5.046,11.2639,32.8677,25.0685,8.52E+01,1.1368,0.2614,0.7871,224.047,82.548
4.825,11.2638,32.8673,25.0682,8.75E+01,1.1436,0.2652,0.7802,224.045,82.547
4.635,11.2638,32.8673,25.0682,8.99E+01,1.1345,0.2636,0.7811,223.979,82.522
4.431,11.2631,32.8676,25.0685,9.02E+01,1.1078,0.2594,0.7867,223.661,82.404
4.207,11.263,32.8675,25.0684,9.17E+01,1.1063,0.261,0.784,223.61,82.385
3.992,11.2627,32.8675,25.0685,9.30E+01,1.0956,0.2717,0.782,223.845,82.471
3.779,11.2621,32.8675,25.0686,9.42E+01,1.0948,0.2717,0.786,224.352,82.657
3.611,11.262,32.8674,25.0685,9.57E+01,1.0712,0.29,0.786,224.437,82.688
3.471,11.2618,32.8673,25.0684,9.89E+01,1.0712,0.2896,0.7843,223.9,82.49
3.223,11.2626,32.8668,25.0679,1.03E+02,0.985,0.2629,0.7826,222.961,82.145
2.864,11.2641,32.8668,25.0677,1.10E+02,0.975,0.2594,0.7805,222.22,81.875
2.552,11.2647,32.8668,25.0675,1.11E+02,0.8652,0.2549,0.7853,221.733,81.696
2.354,11.2649,32.8668,25.0675,1.12E+02,0.8324,0.2533,0.7863,221.319,81.544
2.178,11.2658,32.8664,25.0671,1.28E+02,0.8003,0.2614,0.786,221.678,81.678
2.09,11.2669,32.8665,25.0669,1.35E+02,0.7828,0.2656,0.7838,222.649,82.038
2.095,11.2654,32.8669,25.0675,1.35E+02,0.7698,0.2934,0.7803,223.043,82.18
2.076,11.2665,32.8668,25.0672,1.30E+02,0.7584,0.3201,0.7812,223.444,82.33
2.034,11.2658,32.8665,25.0671,1.27E+02,0.7339,0.2938,0.7816,224.206,82.609
2.025,11.2662,32.8666,25.0671,1.40E+02,0.6966,0.2533,0.7863,224.952,82.885
2.073,11.2668,32.8664,25.0668,1.43E+02,0.6897,0.2518,0.7844,225.698,83.161
2.14,11.2678,32.8664,25.0667,1.23E+02,0.6721,0.2472,0.7814,225.579,83.118
2.153,11.268,32.8662,25.0665,1.30E+02,0.6805,0.2488,0.7808,224.46,82.706
2.099,11.2678,32.8665,25.0667,1.58E+02,0.7339,0.2594,0.7808,223.206,82.244
2.054,11.2676,32.8666,25.0668,1.30E+02,0.7332,0.2594,0.7826,222.735,82.07
2.061,11.2676,32.8668,25.067,1.25E+02,0.6843,0.2472,0.7833,223.06,82.19
2.096,11.2677,32.8663,25.0666,1.28E+02,0.6843,0.2472,0.7851,224.227,82.62
2.106,11.2678,32.8664,25.0666,1.34E+02,0.6836,0.2633,0.7832,225.822,83.208
2.103,11.2678,32.8665,25.0668,1.25E+02,0.6843,0.2652,0.7819,226.679,83.524
2.077,11.2677,32.8665,25.0668,1.19E+02,0.6561,0.2514,0.7808,226.178,83.339
1.949,11.2675,32.8666,25.0669,1.21E+02,0.647,0.2472,0.7796,224.719,82.801
1.786,11.2669,32.8668,25.0671,1.42E+02,0.6714,0.2625,0.7753,223.594,82.386
1.669,11.2652,32.8671,25.0677,2.07E+02,0.6843,0.2713,0.7791,223.685,82.417
1.489,11.2648,32.8667,25.0675,1.70E+02,0.7042,0.2682,0.7818,223.966,82.519
1.278,11.2645,32.8668,25.0676,2.47E+02,0.7217,0.2652,0.7815,223.436,82.324
1.118,11.2633,32.8671,25.068,1.06E+03,0.7606,0.2633,0.7812,222.445,81.956
0.978,11.2627,32.8669,25.068,9.21E+02,0.8194,0.2594,0.7791,222.496,81.974
0.814,11.2613,32.8673,25.0685,1.66E+03,0.8034,0.2575,0.7743,224.092,82.56
0.691,11.2613,32.8668,25.0681,3.62E+03,0.7584,0.2533,0.7701,226.006,83.264
0.573,11.2605,32.8672,25.0686,3.64E+03,0.753,0.256,0.7785,226.632,83.494
0.333,11.2599,32.8673,25.0688,3.64E+03,0.721,0.2717,1.2117,225.799,83.186
0.17,11.0322,15.5188,11.6501,1.97E+03,0.7271,0.3224,5.5194,255.078,82.672
0.17,9.8945,3.5161,2.4653,7.96E+02,1.0353,3.2578,6.0726,284.017,82.339
0.168,8.8709,4.5492,3.3653,3.39E+03,1.0353,3.2624,6.7989,289.113,82.433
0.166,10.1895,20.8461,15.8999,3.71E+03,-0.0336,2.0219,10.5944,253.344,83.706
0.17,11.226,31.532,24.0367,3.76E+03,-0.161,1.8689,12.9013,235.567,85.904
0.168,11.2597,8.2046,5.9578,3.82E+03,37.0313,0.565,13.268,283.474,87.673
0.168,11.2597,4.5526,3.127,3.82E+03,48.7823,0.1626,10.1998,292.989,88.3
0.169,11.2595,3.9566,2.6643,3.76E+03,48.7907,-0.0564,8.0591,292.976,87.924
0.169,11.2575,2.9524,1.8842,3.73E+03,48.793,-0.1781,9.5406,294.245,87.674
0.168,11.2546,2.2065,1.3042,3.66E+03,24.4457,-0.0331,10.2904,297.303,88.112
0.167,11.2211,2.1179,1.2389,3.64E+03,1.3336,0.1011,11.4631,300.451,88.921
0.17,11.186,2.1258,1.2489,2.40E+03,0.898,0.0294,9.1279,302.949,89.594
0.169,11.1769,1.9692,1.1278,2.16E+03,0.2342,-0.0804,6.8917,304.182,89.84
0.17,11.1701,1.7455,0.9543,8.77E+02,0.0442,-0.0991,3.6918,304.686,89.832
0.169,11.1115,1.8858,1.07,9.81E+02,-0.4563,-0.148,2.8364,304.221,89.664
0.169,10.9841,1.8416,1.0491,3.09E+03,-0.3517,-0.0801,1.2318,304.706,89.517
0.168,10.9482,1.6473,0.9014,3.65E+03,0.2548,0.314,1.4594,304.787,89.343
0.167,10.9471,1.5168,0.7996,3.64E+03,0.2495,0.3346,1.9621,304.644,89.216
0.167,10.9439,1.3984,0.7075,3.64E+03,0.0244,1.2421,2.0605,304.625,89.129
0.167,10.9405,1.26,0.5999,3.74E+03,0.0244,1.2421,2.117,304.537,89.009
0.169,10.9361,1.0846,0.4633,3.76E+03,0.0793,4.5243,3.9706,304.91,88.998
0.17,10.9304,0.9997,0.3975,3.78E+03,0.0862,4.91,4.0457,304.815,88.905
0.168,10.9228,0.9296,0.3434,3.80E+03,0.1251,1.574,4.0527,304.84,88.852
0.167,10.9139,0.8708,0.2984,3.83E+03,0.1358,0.5868,4.9369,304.955,88.83
0.169,10.9036,1.0048,0.4042,3.86E+03,0.1648,1.8567,5.6486,304.617,88.795
0.169,10.8917,1.0307,0.4257,3.88E+03,0.1808,2.5472,5.812,304.782,88.835
